team,name,position,number,minutes,yellow,red,f-conceded,overall
Y9,Manny Aparicio,m,10,2159,5,1,56,0.82
FFC,Dominic Samuel,d,22,2044,5,1,38,0.74
PFC,Matthew Baldisimo,m,17,1809,5,1,34,0.7
PFC,Alexander González,m,28,1746,4,1,34,0.67
VFC,Jordan Murrell,d,4,1784,4,1,30,0.65
CFC,Joel Waterman,m,15,1719,4,1,20,0.61
VFC,Adam Mitter,d,15,1513,4,1,23,0.6
CFC,Nathan Mavila,d,3,1952,2,1,38,0.65
FFC,Tristan Borges,m,4,1884,2,1,37,0.64
PFC,Lukas MacNaughton,d,14,1704,2,1,24,0.57
FCE,Jeannot Esua,d,3,1799,2,1,20,0.56
CFC,José Escalante,m,11,1592,2,1,23,0.55
CFC,Mauro Eustaquio,m,18,533,2,1,16,0.42
CFC,Dean Northover,d,12,609,2,1,13,0.41
PFC,Ryan McCurdy,d,3,744,2,1,6,0.4
HFX,Jan-Michael Williams,g,21,1028,1,1,1,0.38
FCE,Philippe Lincourt-Joseph,m,10,346,0,1,1,0.28
VFC,Raphael Ohin,m,27,1461,9,0,41,0.56
FCE,Oumar Diouck,f,45,1977,6,0,62,0.61
FFC,Giuliano Frano,m,7,1960,6,0,35,0.5
HFX,André Bona,d,3,2053,6,0,31,0.49
Y9,Joseph Di Chiara,m,8,1755,6,0,37,0.48
CFC,Elijah Adekugbe,m,16,1575,6,0,34,0.46
CFC,Julian Büscher,m,8,1678,5,0,49,0.5
CFC,Nico Pasquotti,f,17,1853,5,0,43,0.49
VFC,Louis Béland-Goyette,m,5,1772,5,0,35,0.45
VFC,Skylar Thomas,d,3,1894,5,0,24,0.42
VFC,José Galán,m,21,901,5,0,31,0.35
HFX,Chrisnovic N'sa,d,6,1217,5,0,17,0.32
CFC,Jay Wheeldon,d,14,1407,5,0,10,0.31
FCE,Tomi Ameobi,f,18,1860,4,0,49,0.49
PFC,Victor Blasco,m,19,1586,4,0,50,0.47
HFX,Andre Rampersad,m,18,2003,4,0,31,0.43
FFC,Kwame Awuah,d,2,1885,4,0,28,0.41
PFC,Alessandro Hojabrpour,f,21,1731,4,0,28,0.39
HFX,Tomasz Skublak,f,17,1389,4,0,32,0.37
CFC,Oliver Minatel,f,7,1450,4,0,30,0.37
HFX,Elton John,m,5,1435,4,0,31,0.37
FFC,Bertrand Owundi,d,16,1757,4,0,17,0.35
VFC,Diego Gutiérrez,m,8,1605,4,0,14,0.32
Y9,Steven Furlano,d,77,517,4,0,15,0.22
FFC,Kadell Thomas,f,30,542,4,0,12,0.21
FCE,Mélé Temguia,d,8,2430,3,0,40,0.48
Y9,Luca Gasparotto,d,13,2520,3,0,22,0.42
VFC,Marco Bustos,m,22,2249,3,0,24,0.4
Y9,Morey Doner,d,3,2250,3,0,22,0.39
Y9,Diyaeddine Abzi,d,20,1814,3,0,29,0.38
Y9,Wataru Murofushi,m,23,1718,3,0,30,0.37
PFC,Blake Smith,d,4,2004,3,0,23,0.37
HFX,Matthew Arnone,d,23,2094,3,0,18,0.36
FCE,Ramón Soria,d,5,2011,3,0,18,0.35
FCE,Amer Didic,d,55,1650,3,0,21,0.33
VFC,Dylan Carreiro,m,10,1441,3,0,19,0.3
HFX,Juan Diego Gutiérrez,m,7,1240,3,0,24,0.3
CFC,Nik Ledgerwood,m,6,1227,3,0,25,0.3
HFX,Ndzemdzela Langwa,d,20,1281,3,0,22,0.29
PFC,Hendrik Starostzik,d,16,1161,3,0,18,0.27
HFX,Alex De Carolis,d,24,1246,3,0,14,0.26
FFC,Marcel Zajac,f,9,1073,3,0,15,0.25
PFC,Emile Legault,d,20,915,3,0,14,0.23
FFC,Anthony Novak,f,23,1027,3,0,9,0.22
HFX,Akeem Garcia,m,11,2082,2,0,35,0.4
FFC,Kyle Bekker,m,3,2354,2,0,29,0.4
Y9,Ryan Telfer,m,18,2216,2,0,25,0.37
Y9,Rodrigo Gattas,f,22,1958,2,0,24,0.34
FCE,James Marcelin,m,14,1699,2,0,24,0.32
CFC,Jordan Brown,f,9,1324,2,0,34,0.32
PFC,Kadin Chung,d,7,2032,2,0,16,0.32
FCE,Bruno Zebie,m,20,1767,2,0,17,0.29
HFX,Peter Schaale,d,2,1530,2,0,20,0.28
CFC,Mason Trafford,d,5,1801,2,0,11,0.27
Y9,Daniel Gogarty,d,2,1551,2,0,12,0.25
FFC,Triston Henry,g,9,1890,2,0,1,0.24
VFC,Michele Paolucci,f,17,1139,2,0,15,0.22
PFC,Jose Hernandez,f,15,652,2,0,24,0.21
VFC,Raphaël Garcia,d,2,943,2,0,16,0.21
HFX,Christian Oxner,g,50,1489,2,0,2,0.21
FCE,Kareem Moses,d,12,970,2,0,12,0.2
HFX,Luis Alberto Perea,f,10,1014,2,0,11,0.2
HFX,Elliot Simmons,m,8,969,2,0,14,0.2
FFC,Jonathan Grant,d,8,822,2,0,13,0.18
Y9,Justin Springer,d,5,945,2,0,3,0.16
Y9,Emilio Estevez,m,11,627,2,0,12,0.16
VFC,Mathias Janssens,g,26,1080,2,0,0,0.16
PFC,David Norman Jr.,m,24,596,2,0,8,0.14
FFC,Monti Mohsen,d,11,363,2,0,9,0.12
Y9,Kyle Porter,m,19,1916,1,0,21,0.3
PFC,Ben Fisk,m,21,1662,1,0,22,0.28
FCE,Allan Zebie,d,4,1970,1,0,14,0.27
FFC,Chris Nanco,f,13,1429,1,0,25,0.27
PFC,Noah Verhoeven,m,23,1850,1,0,17,0.27
PFC,Zach Verhoven,m,16,1285,1,0,26,0.26
CFC,Marco Carducci,g,1,2160,1,0,1,0.24
CFC,Dominique Malonga,f,19,1871,1,0,8,0.24
VFC,Martín Arguiñarena,d,6,1534,1,0,14,0.23
CFC,Malyk Hamilton,f,21,1275,1,0,13,0.2
HFX,Kodai Iida,m,9,1180,1,0,13,0.19
FCE,Yong-Chan Son,m,7,952,1,0,16,0.18
FCE,Easton Ongaro,f,19,1167,1,0,11,0.18
CFC,Sergio Camargo,m,10,1171,1,0,9,0.18
PFC,Mark Village,g,1,1440,1,0,1,0.17
FCE,Edem Mortotsi,m,6,881,1,0,15,0.17
FFC,Emery Welshman,f,14,932,1,0,14,0.17
HFX,Duran Lee,d,16,678,1,0,18,0.16
Y9,Roger Thompson,d,6,802,1,0,9,0.14
VFC,Nicolás Galvis,m,14,488,1,0,11,0.12
FFC,David Edgar,d,30,744,1,0,5,0.12
FCE,Marcus Velado-Tsegaye,f,17,487,1,0,12,0.12
FCE,Ajeej Sarkaria,f,9,566,1,0,8,0.11
FCE,Randy Edwini-Bonsu,f,11,363,1,0,9,0.1
HFX,Chakib Hocine,d,4,352,1,0,7,0.09
HFX,Kouamé Ouattara,m,13,229,1,0,11,0.09
PFC,Issey Nakajima-Farran,f,11,252,1,0,9,0.08
VFC,Federico Peña,f,77,315,1,0,4,0.07
Y9,Emmanuel Zambazis,m,14,277,1,0,3,0.06
CFC,Victor Loturi,f,13,137,1,0,4,0.05
PFC,Terran Campbell,f,14,2334,0,0,29,0.34
FFC,Daniel Krutzen,d,10,2381,0,0,21,0.32
CFC,Dominick Zator,d,4,2335,0,0,15,0.29
HFX,Mohamed Kourouma,f,12,1988,0,0,22,0.28
FCE,Ajay Khabra,m,23,1728,0,0,27,0.28
FFC,Alexander Achinioti-Jönsson,m,1,1671,0,0,27,0.27
FFC,Elimane Cissé,m,6,1701,0,0,27,0.27
Y9,Nathan Ingham,g,1,2340,0,0,0,0.23
Y9,Simon Karlsson Adjei,f,12,1422,0,0,18,0.21
VFC,Dylan Sacramento,m,7,1135,0,0,22,0.2
FCE,Connor James,g,1,1980,0,0,0,0.19
VFC,Michael Petrasso,m,9,1301,0,0,14,0.18
FFC,David Choinière,m,5,975,0,0,12,0.14
VFC,Tyson Farago,g,1,1440,0,0,0,0.14
PFC,Marcus Haber,f,9,704,0,0,14,0.12
VFC,Tyler Attardo,f,16,999,0,0,7,0.12
VFC,Ali Musse,m,23,740,0,0,13,0.12
HFX,Zachary Sukunda,d,25,841,0,0,9,0.11
PFC,Nolan Wirth,g,6,1080,0,0,0,0.1
VFC,Yohan Le Bourhis,d,25,720,0,0,9,0.1
CFC,Carlos Patiño,m,20,320,0,0,12,0.08
FFC,Quillan Roberts,g,17,720,0,0,0,0.07
VFC,Glenn Muenkat,m,11,365,0,0,7,0.06
Y9,Austin Ricci,f,7,199,0,0,12,0.06
VFC,Calum Ferguson,f,12,344,0,0,6,0.05
VFC,Josip Golubar,m,20,255,0,0,8,0.05
FCE,Tony Tchani,m,22,192,0,0,8,0.05
FFC,Klaidi Cela,d,16,326,0,0,6,0.05
FCE,Dylon Powley,g,13,540,0,0,0,0.05
Y9,Cyrus Rollocks,f,17,292,0,0,5,0.04
CFC,Niko Giantsopoulos,g,22,450,0,0,0,0.04
PFC,Ahmed Alghamdi,m,13,330,0,0,4,0.04
FCE,David Doe,f,26,170,0,0,6,0.04
Y9,Michael Cox,f,92,184,0,0,4,0.03
VFC,Stephen Hoyle,f,17,237,0,0,4,0.03
HFX,Scott Firth,m,15,287,0,0,1,0.03
FFC,Jace Kotsopoulos,m,12,138,0,0,2,0.02
CFC,Aribim Pepple,f,24,60,0,0,4,0.02
FCE,Prince Amanda,f,16,137,0,0,2,0.02
CFC,Gabriel Bitar,f,19,90,0,0,1,0.01
Y9,Stefan Lamanna,f,21,77,0,0,1,0.01
Y9,Matt Silva,g,1,90,0,0,0,0.0
Y9,Colm Vance,g,31,90,0,0,0,0.0
PFC,Marcel de Jong,d,8,50,0,0,0,0.0
HFX,Vincent Lamy,f,14,88,0,0,0,0.0
FFC,Oluwaseun Oyegunle,d,15,38,0,0,1,0.0
FFC,Justin Stoddart,m,20,14,0,0,0,0.0
CFC,Oluwatofarati Fakunle,f,25,9,0,0,0,0.0
