ExpG,ExpA,Goal,BgChnc,Chance,CleanSheet,GoalCncd,BgChncFace
0.61,0.58,1,1,3,1,0,0
1.73,0.74,1,1,11,0,2,2
1.04,0.96,0,2,10,0,3,3
0.66,0.54,0,0,5,1,0,0
1.89,1.72,2,3,9,0,2,4
0.42,0.36,1,0,7,0,2,3
2.3,1.46,0,3,7,0,1,1
1.23,1.23,2,2,9,0,1,3
0.32,0.13,1,0,4,0,3,1
1.73,0.97,3,2,7,0,1,8
1.64,1.47,2,2,9,0,3,6
1.76,1.6,2,4,11,0,3,4
0.84,0.81,1,1,9,0,2,0
2.11,1.4,3,3,7,0,1,1
1.84,1.65,2,3,7,0,2,2
1.05,0.29,1,1,4,0,3,7
1.25,1.25,2,3,9,1,0,2
1.86,1.05,2,2,12,0,1,2
1.02,0.47,1,1,8,0,1,3
1.19,1.15,1,1,13,0,1,3
1.07,0.99,0,1,14,0,2,2
0.75,0.63,1,0,8,1,0,1
1.43,0.51,1,2,4,0,4,7
1.15,0.22,0,1,6,0,3,5
1.2,1.14,1,2,10,0,1,2
1.27,1.13,1,2,10,0,1,1
0.76,0.65,1,1,5,0,3,3
1.82,1.35,2,3,11,1,0,0
