team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall
FFC,David Choinière,7,m,113,0,1,64,35,100.0,4,100.0,2,22,4,0.73
CFC,Elijah Adekugbe,8,m,144,0,0,121,95,90.2,7,50.0,4,12,3,0.7
CFC,Nikolas Ledgerwood,6,m,91,0,1,50,31,68.0,4,66.7,3,16,3,0.63
FFC,Kyle Bekker,10,m,180,1,0,98,74,80.6,9,0.0,0,14,0,0.61
PFC,Marco Bustos,10,m,83,1,1,59,40,87.5,5,20.0,1,11,0,0.6
FFC,Alexander Achinioti-Jönsson,13,m,179,0,0,142,117,78.9,1,0.0,2,17,2,0.59
Y9,Joseph Di Chiara,8,m,90,1,0,58,41,78.0,4,50.0,2,14,2,0.59
HFX,Cory Bent,23,m,90,0,0,57,30,60.0,10,30.0,2,22,3,0.55
PFC,Zachary Verhoven,16,m,26,1,1,18,11,63.6,1,100.0,2,5,1,0.55
CFC,Sergio Camargo,10,m,130,1,0,64,39,72.7,4,0.0,1,12,3,0.54
Y9,Ryan Telfer,18,m,90,0,0,52,21,71.4,8,37.5,2,15,4,0.53
FFC,Paolo Sabak,24,m,159,0,0,104,79,84.4,2,0.0,2,22,0,0.53
FCE,Erik Zetterberg,21,m,90,0,0,60,45,84.4,1,100.0,3,9,1,0.51
PFC,Matthew Baldisimo,8,m,90,0,0,76,59,72.9,0,0.0,1,16,6,0.48
Y9,Kyle Porter,19,m,90,0,0,57,34,97.1,9,33.3,2,5,1,0.48
PFC,Victor Blasco,23,m,72,0,0,54,28,67.9,3,33.3,2,18,2,0.46
VFC,Brett Levis,17,m,90,0,0,44,30,76.7,1,100.0,1,7,2,0.44
ATO,Francisco Javier Acuña Víctor,8,m,54,0,1,50,40,85.0,1,0.0,1,8,1,0.43
FCE,Hanson Boakai,10,m,77,0,0,46,27,92.6,4,25.0,0,13,3,0.43
HFX,Aboubacar Sissoko,17,m,90,0,0,56,38,76.3,1,0.0,0,20,3,0.41
HFX,Louis Béland-Goyette,5,m,81,0,0,50,31,83.9,1,0.0,1,16,3,0.41
FCE,Keven Steven Alemán Bustos,11,m,90,0,0,45,23,69.6,4,0.0,2,12,1,0.4
ATO,Malyk Hamilton,2,m,90,0,0,68,44,93.2,2,0.0,0,9,3,0.4
CFC,Bruno Zebie,16,m,89,0,0,62,45,80.0,1,0.0,0,10,3,0.38
VFC,Stefan Cebara,14,m,90,0,0,61,41,80.5,1,0.0,0,7,1,0.34
HFX,Andre Rampersad,18,m,90,0,0,44,27,77.8,0,0.0,1,9,1,0.34
VFC,Fraser Aird,33,m,90,0,0,37,25,68.0,2,0.0,1,7,1,0.33
Y9,Max Ferrari,16,m,36,0,0,20,14,71.4,4,50.0,1,2,0,0.31
ATO,Ben Fisk,10,m,90,0,0,34,26,73.1,2,0.0,1,4,0,0.31
PFC,Alessandro Hojabrpour,21,m,64,0,0,28,24,79.2,0,0.0,0,7,2,0.3
VFC,Dante Campbell,48,m,72,0,0,28,21,71.4,0,0.0,0,9,2,0.3
ATO,Víctor Martínez Manrique,5,m,90,0,0,38,29,72.4,1,0.0,0,5,0,0.28
FCE,Yong-Chan Son,7,m,61,0,0,27,12,83.3,1,0.0,1,6,0,0.28
CFC,Elliot Simmons,15,m,36,0,0,27,20,60.0,2,0.0,0,8,2,0.28
VFC,Raphael Ohin,27,m,45,0,0,31,19,84.2,0,0.0,0,5,1,0.26
ATO,Ajay Khabra,23,m,63,0,0,29,25,92.0,0,0.0,0,4,0,0.26
PFC,Noah Verhoeven,19,m,64,0,0,30,27,81.5,1,0.0,0,2,0,0.26
Y9,Wataru Murofushi,23,m,37,0,0,27,23,100.0,0,0.0,0,2,0,0.25
VFC,Dylan Carreiro,10,m,64,0,0,15,11,81.8,0,0.0,0,4,1,0.25
ATO,Ben McKendry,22,m,27,0,0,24,17,58.8,0,0.0,0,4,3,0.25
VFC,Diego Gutiérrez,8,m,18,0,0,22,16,81.3,0,0.0,0,6,0,0.23
PFC,Josh Heard,11,m,18,0,0,10,5,100.0,0,0.0,0,4,0,0.22
HFX,Alex Marshall,7,m,18,0,0,12,6,66.7,1,0.0,0,5,1,0.22
FCE,Antony Caceres,20,m,13,0,0,9,6,83.3,0,0.0,0,3,1,0.22
PFC,Jamar Dixon,22,m,26,0,0,7,4,75.0,0,0.0,0,3,1,0.21
VFC,Solomon Kojo Antwi,25,m,25,0,0,14,8,75.0,0,0.0,0,3,0,0.2
FFC,Elimane Cissé,3,m,11,0,0,16,11,81.8,0,0.0,0,1,0,0.2
FCE,Chance Carter,14,m,3,0,0,1,1,100.0,0,0.0,0,0,0,0.19
VFC,Moses Dyer,6,m,18,0,0,1,1,0.0,0,0.0,0,1,0,0.01
